Cruise,Cruise_ID,Date,Mesh_Size,TOTAL_DENSITY,BIOMASS,COPEPODS,CHAETOGNATHA
71,CAR-071,2001-10-09,200,1112.64,26.8331,741.76,21.3969
71,CAR-071,2001-10-09,500,212.942,15.9475,160.22,7.75995
72,CAR-072,2001-11-06,500,13.4266,2.33661,5.61766,1.29485
72,CAR-072,2001-11-06,200,282.303,7.42849,197.284,7.51556
73,CAR-073,2001-12-11,200,572.647,5.59624,440.181,18.1009
73,CAR-073,2001-12-11,500,8.78655,0.714084,4.96766,0.636481
74,CAR-074,2002-01-10,200,499.383,10.24,329.141,3.24277
74,CAR-074,2002-01-10,500,104.94,4.93,31.63,2.23
75,CAR-075,2002-02-14,200,612.358,12.92,508.362,14.8548
75,CAR-075,2002-02-14,500,NA,NA,0,0
76,CAR-076,2002-03-12,500,29.04,5.47,18.86,0.49
76,CAR-076,2002-03-12,200,379.342,10.55,321.592,6.79419
77,CAR-077,2002-04-02,500,6.62,8.31,21.1,1.16
77,CAR-077,2002-04-02,200,571.588,8.71,466.09,4.1
78,CAR-078,2002-05-07,500,96.24,1.31,4.57,0.26
78,CAR-078,2002-05-07,200,246.677,4.5,219.71,0.332894
79,CAR-079,2002-06-12,200,312.87,10.63,285.137,4.17644
79,CAR-079,2002-06-12,500,16.16,4.54,70.6,6.81
80,CAR-080,2002-07-09,200,97.2282,1.4,77.9889,0.137344
80,CAR-080,2002-07-09,500,60,0.88,10.11,0.37
81,CAR-081,2002-08-06,200,1074.94,1.79,921.72,3.21
81,CAR-081,2002-08-06,500,142.88,1.28,34.44,2.88
82,CAR-082,2002-10-03,500,184.48,1.5,84.59,2.69
82,CAR-082,2002-10-03,200,2268.95,12.35,2051.51,23.6349
83,CAR-083,2002-11-07,200,779.043,4.76,735.993,0
83,CAR-083,2002-11-07,500,47.19,3.33,33.99,0.33
84,CAR-084,2002-12-05,500,41.34,1.9,17.14,3.67
84,CAR-084,2002-12-05,200,615.333,5.52,454.35,7.78887
85,CAR-085,2003-01-14,200,740.251,11.99,701.854,1.32425
85,CAR-085,2003-01-14,500,132.06,4.74,96.72,3.26
86,CAR-086,2003-02-11,200,167.658,11.8,152.41,4.63845
86,CAR-086,2003-02-11,500,56.66,8.74,43.31,3.27
87,CAR-087,2003-03-11,500,79.28,11.38,63.39,2.45
87,CAR-087,2003-03-11,200,1109.89,21.85,1054.17,12.8557
88,CAR-088,2003-04-08,200,214.95,11.97,199.136,1.86186
88,CAR-088,2003-04-08,500,106.81,8.42,74.2,2.15
89,CAR-089,2003-05-13,200,306.762,11.26,215.616,7.1
89,CAR-089,2003-05-13,500,88.03,6.03,63.94,1.41
90,CAR-090,2003-06-10,500,85.78,8.8,63.78,2.23
90,CAR-090,2003-06-10,200,363.483,13.57,266.354,20.11
91,CAR-091,2003-07-08,200,541.466,7.5,452.81,44.9259
91,CAR-091,2003-07-08,500,64.99,5.25,49.31,2.72
93,CAR-093,2003-09-09,500,56.92,4.82,42.19,1.61
93,CAR-093,2003-09-09,200,452.666,8.57,374.99,7.14266
94,CAR-094,2003-11-11,500,61.72,3.07,44.79,3.17
94,CAR-094,2003-11-11,200,354.087,4.33,323.06,2.82152
95,CAR-095,2003-12-09,200,579.088,9.08,449.624,12.7143
95,CAR-095,2003-12-09,500,67.85,3.91,28.44,2.24
96,CAR-096,2004-01-13,500,74.1,2.83,52.93,8.17
96,CAR-096,2004-01-13,200,574.131,10.66,466.195,4.49758
97,CAR-097,2004-02-08,200,277.289,5.6,228.689,2.05
97,CAR-097,2004-02-08,500,35.01,3.31,22.32,2.46
98,CAR-098,2004-03-08,500,47.67,4.76,39.58,0.89
98,CAR-098,2004-03-08,200,626.583,6.17,567.189,2.96958
99,CAR-099,2004-04-06,500,77.1,10.59,69.09,4.34
99,CAR-099,2004-04-06,200,434.476,18.31,409.912,10.7468
100,CAR-100,2004-05-13,200,14.9676,11.47,1.24588,1.24588
100,CAR-100,2004-05-13,500,44.68,5.11,38.93,0.72
101,CAR-101,2004-06-08,200,394.891,14.01,302.144,1.99436
101,CAR-101,2004-06-08,500,74.82,10.72,42.99,1.41
102,CAR-102,2004-07-07,500,41,7.91,3.95,0
102,CAR-102,2004-07-07,200,115.939,18.15,88.09,1.36929
103,CAR-103,2004-08-10,500,55.2,8.86,44.9,0.56
103,CAR-103,2004-08-10,200,433.322,15.8,405.03,2.1
104,CAR-104,2004-09-07,500,74.2,3.24,51.99,4.24
104,CAR-104,2004-09-07,200,1083.37,11.44,937.359,0
105,CAR-105,2004-10-05,200,198.552,5.4,179.08,0.778597
105,CAR-105,2004-10-05,500,27,2.81,22.07,0.45
106,CAR-106,2004-11-09,500,17,2.99,13.79,0.71
106,CAR-106,2004-11-09,200,190.683,3.41,158.472,4.82183
107,CAR-107,2004-12-07,500,25,1.95,15.79,2.21
107,CAR-107,2004-12-07,200,325.825,5.8,284.121,7.75758
108,CAR-108,2005-01-11,200,167.93,5.99,161.714,0.388727
108,CAR-108,2005-01-11,500,31.18,2.96,22.17,1.58
109,CAR-109,2005-02-10,200,97.622,9.76,88.692,0
109,CAR-109,2005-02-10,500,42.36,7.09,37.98,0.48
110,CAR-110,2005-03-08,200,374.617,13.71,336.08,1.7
110,CAR-110,2005-03-08,500,50.8,5.97,41.87,0.49
111,CAR-111,2005-04-05,200,270.599,10.88,229.154,5.07
111,CAR-111,2005-04-05,500,66.18,7.48,49.85,0.44
112,CAR-112,2005-05-10,200,220.22,9.89,209.03,0
112,CAR-112,2005-05-10,500,65.16,6.4,59.2,1.86
113,CAR-113,2005-06-14,200,563.809,6.15,512.346,6.17284
113,CAR-113,2005-06-14,500,61.7,6.04,54.32,0.99
114,CAR-114,2005-07-12,200,290.976,8.19,265.946,2.77992
114,CAR-114,2005-07-12,500,50.18,3.07,4.47,0.73
115,CAR-115,2005-08-10,500,71.7,2.03,58.88,0.84
115,CAR-115,2005-08-10,200,505.31,5.62,451.875,5.625
117,CAR-117,2005-12-15,500,62.34,4.46,48.16,2.39
117,CAR-117,2005-12-15,200,489.355,10.68,410.954,9.47692
118,CAR-118,2006-01-12,500,66.37,7.5,58.99,3.07
118,CAR-118,2006-01-12,200,496.938,17.54,440.84,28.05
119,CAR-119,2006-02-07,200,383.514,19.3,351,8.35714
119,CAR-119,2006-02-07,500,55.05,10.45,47.44,1.14
120,CAR-120,2006-03-16,200,549.235,12.22,474.435,3.21
120,CAR-120,2006-03-16,500,75.25,12.62,64.52,1.24
121,CAR-121,2006-04-04,200,609.863,17.66,569.19,13.5521
121,CAR-121,2006-04-04,500,91.4,7.23,81,2.36
122,CAR-122,2006-05-10,200,217.43,14,178.78,5.8
122,CAR-122,2006-05-10,500,28.15,7.97,23.18,0.6
123,CAR-123,2006-06-06,200,215.814,10,183.169,1.99824
123,CAR-123,2006-06-06,500,28,2.53,20.72,0.65
124,CAR-124,2006-07-04,200,169.654,4,129.811,3.62264
124,CAR-124,2006-07-04,500,20,1.3,16.25,0.35
125,CAR-125,2006-08-03,500,60,8.4,52.58,0.66
125,CAR-125,2006-08-03,200,441.601,15.7,370.49,5.61356
126,CAR-126,2006-09-12,500,37,10.5,29.61,0.27
126,CAR-126,2006-09-12,200,304.514,12.67,258.07,4.64392
127,CAR-127,2006-10-10,500,217.413,9.96,148.69,6.44
127,CAR-127,2006-10-10,200,2476.51,8.04,2270.65,5.9
128,CAR-128,2006-11-02,200,542.669,6.32,371.066,4.4
128,CAR-128,2006-11-02,500,80.6665,3.25,36.18,5.13
129,CAR-129,2006-12-05,200,861.718,7.33,566.231,1.37269
129,CAR-129,2006-12-05,500,79.8908,3.39,39.26,3.02
130,CAR-130,2007-02-06,200,1334.42,18.17,728.612,33.734
130,CAR-130,2007-02-06,500,96.6039,9,43.72,1.79
131,CAR-131,2007-03-06,200,269.512,8.34,225.2,5.49259
131,CAR-131,2007-03-06,500,175.135,9.65,146.13,14.97
133,CAR-133,2007-05-08,200,630.935,14.55,296.347,9.61948
133,CAR-133,2007-05-08,500,145.359,9.11,95.3831,6.57
134,CAR-134,2007-06-05,200,898.777,9.56,509.239,6.37432
134,CAR-134,2007-06-05,500,66.4115,5.81,52.44,1.84
135,CAR-135,2007-07-03,200,1360.84,16.78,729.655,2.51462
135,CAR-135,2007-07-03,500,185.663,9.94,134.12,1.68
136,CAR-136,2007-08-07,500,194.429,10.19,143.52,8.12
136,CAR-136,2007-08-07,200,1120.9,16.24,792.103,5.16587
138,CAR-138,2007-10-09,200,601.812,4.89,492.381,1.07
138,CAR-138,2007-10-09,500,22.2054,1.66,7.24,2.9
140,CAR-140,2007-12-11,500,40.7586,3.66,36.28,0.69
140,CAR-140,2007-12-11,200,328.304,7.18,223.185,2.58519
141,CAR-141,2008-01-10,200,809.497,19.21,466.05,3.15433
141,CAR-141,2008-01-10,500,118.485,11.06,74.52,9.46
142,CAR-142,2008-02-12,500,179.825,10.99,159.32,5.92
142,CAR-142,2008-02-12,200,996.112,19.36,679.67,8.25519
143,CAR-143,2008-03-11,500,266.133,10.23,204.442,21.52
143,CAR-143,2008-03-11,200,809.126,22.3,538.72,10.04
144,CAR-144,2008-04-08,200,2026.69,32.63,1266.25,20.28
144,CAR-144,2008-04-08,500,350.581,16.81,295.61,7.66
145,CAR-145,2008-05-06,200,204.228,14.66,124.6,10.38
145,CAR-145,2008-05-06,500,96.9909,7.84,86.8034,1.67
146,CAR-146,2008-06-04,200,190.564,18.7,153.46,4.79674
146,CAR-146,2008-06-04,500,145.613,10.24,114.388,4.08
147,CAR-147,2008-07-08,200,985.111,9.55,655.33,25.2
147,CAR-147,2008-07-08,500,85.9064,5.15,67.21,6.93
148,CAR-148,2008-08-05,500,102.502,5.04,59.03,12.97
148,CAR-148,2008-08-05,200,962.317,10.55,521.16,4.325
149,CAR-149,2008-09-10,500,86.3213,4.67,61.32,2.06
149,CAR-149,2008-09-10,200,433.309,9.53,299.72,0
150,CAR-150,2008-10-10,500,83.0647,4.85,40.94,11.92
150,CAR-150,2008-10-10,200,679.616,10.96,532.17,3.57695
151,CAR-151,2008-11-18,500,38.2865,3.25,30.63,0.66
151,CAR-151,2008-11-18,200,337.803,6.31,315.04,0.437565
152,CAR-152,2008-12-10,500,12.3864,2.69,8.8,0.33
152,CAR-152,2008-12-10,200,280.507,4.44,256.29,2.23514
153,CAR-153,2009-01-13,500,132.311,14.61,111.55,1.24
153,CAR-153,2009-01-13,200,973.358,21.3,534.52,1.16198
154,CAR-154,2009-02-10,500,60.5544,17.58,30.59,15.94
154,CAR-154,2009-02-10,200,661.295,25.28,367.78,4.1432
155,CAR-155,2009-03-03,500,177.545,10.9,140.035,11.25
155,CAR-155,2009-03-03,200,877.748,15.13,659.54,5.62641
156,CAR-156,2009-04-07,500,208.496,7.42,169.51,11.14
156,CAR-156,2009-04-07,200,1631.48,11.13,898.96,21.6539
157,CAR-157,2009-05-08,500,NA,11.77,104.56,15.86
157,CAR-157,2009-05-08,200,939.973,22.8,688.06,14.9362
158,CAR-158,2009-06-02,500,150.898,9.97,111.7,1.31
158,CAR-158,2009-06-02,200,1155.58,15.5,819.16,5.87914
159,CAR-159,2009-07-14,200,445.741,9.88,211.74,1.06
159,CAR-159,2009-07-14,500,182.943,6.9,43.19,1.69
160,CAR-160,2009-08-11,200,1317.4,19.33,1012.85,8.74
160,CAR-160,2009-08-11,500,154.603,8.71,67.19,1.93
161,CAR-161,2009-09-15,200,1479.01,16.29,974.45,5.33956
161,CAR-161,2009-09-15,500,166.86,8.6,100.12,6.01
162,CAR-162,2009-10-06,500,44.2111,1.6,38.69,1.28
162,CAR-162,2009-10-06,200,110.245,10.56,49.59,5.66898
163,CAR-163,2009-11-10,200,651.659,9.28,588.98,22.5567
163,CAR-163,2009-11-10,500,132.333,4.55,117.29,3.01
164,CAR-164,2009-12-08,200,1331.35,12.07,787.22,2.03
164,CAR-164,2009-12-08,500,68.3476,4.21,48.82,2.44
165,CAR-165,2010-01-12,500,122.133,10.2837,75,6.08
165,CAR-165,2010-01-12,200,1577.1,16.0325,944.13,12.67
166,CAR-166,2010-02-11,500,181.464,0,133.81,6.42
166,CAR-166,2010-02-11,200,840.9,11.0871,441.75,1.83
167,CAR-167,2010-03-09,200,1437.26,12.0687,816.2,1.87
167,CAR-167,2010-03-09,500,74.6809,8.46851,63.16,0.62
168,CAR-168,2010-04-07,200,2214.81,17.9506,1311.78,1.13
168,CAR-168,2010-04-07,500,169.809,8.47199,131.516,4.95
169,CAR-169,2010-05-11,200,848.74,8.16635,361.01,1.16
169,CAR-169,2010-05-11,500,89.098,4.78063,46.0532,0.69
170,CAR-170,2010-06-08,500,64.4745,6.60428,52.5256,3.98
170,CAR-170,2010-06-08,200,296.27,7.87697,189.94,3.49
171,CAR-171,2010-08-04,500,51.3165,6.64482,30.2636,2.37
171,CAR-171,2010-08-04,200,728.99,8.33103,410.53,2.63
172,CAR-172,2010-09-15,200,1038.48,6.59381,585.09,5.09
172,CAR-172,2010-09-15,500,56.9747,3.86799,21.6347,2.55
173,CAR-173,2010-10-04,500,36.0656,3.47984,21.4756,1.59
173,CAR-173,2010-10-04,200,816.79,5.93761,335.17,2.78
174,CAR-174,2010-11-09,200,1063.3,5.85374,649.56,4.47
174,CAR-174,2010-11-09,500,33.4794,2.81628,23.2594,1.26
175,CAR-175,2010-12-08,200,460.57,5.17508,283.14,0.7
175,CAR-175,2010-12-08,500,31.3051,3.04007,17.9482,0.556535
176,CAR-176,2011-01-11,200,668.22,8.45386,371.38,5.17
176,CAR-176,2011-01-11,500,42.2232,3.18589,32.95,3.32
177,CAR-177,2011-02-08,200,2498.83,25.8654,1321.96,9.94
177,CAR-177,2011-02-08,500,139.949,6.15125,83.22,9.54
178,CAR-178,2011-03-15,500,193.195,8.56895,102.31,4.57
178,CAR-178,2011-03-15,200,1480.54,14.2324,769.584,15.22
179,CAR-179,2011-04-12,500,238.669,4.62812,130.82,8.93
179,CAR-179,2011-04-12,200,1604.93,15.3594,579.085,6.84
180,CAR-180,2011-05-10,200,447.907,16.1425,283.963,4.97
180,CAR-180,2011-05-10,500,59.63,3.52088,35.54,6.02
181,CAR-181,2011-06-09,500,80.64,4.74325,53.1,1.24
181,CAR-181,2011-06-09,200,509.667,9.7582,371.149,5.33
182,CAR-182,2011-07-07,200,1478.38,21.3049,670.84,2.66
182,CAR-182,2011-07-07,500,171.982,8.92783,70.08,2
183,CAR-183,2011-08-09,200,1150.77,18.5713,607.3,6.38
183,CAR-183,2011-08-09,500,192.509,9.3085,97.85,7.45
184,CAR-184,2011-09-06,200,731.74,11.6233,571.66,2.9
184,CAR-184,2011-09-06,500,76.35,7.05244,49.99,6.52
185,CAR-185,2011-10-04,500,40.7604,3.62096,23.57,2.46
185,CAR-185,2011-10-04,200,797.82,10.3751,566.17,1.31
186,CAR-186,2011-11-18,500,40.4245,2.30778,20.21,2.56
186,CAR-186,2011-11-18,200,304.75,7.70624,167.07,0
187,CAR-187,2012-01-10,500,109.967,9.95754,54.6144,8.11836
187,CAR-187,2012-01-10,200,1050.96,27.3382,677.514,19.1888
188,CAR-188,2012-02-07,200,712.089,31.6605,418.556,12.6835
188,CAR-188,2012-02-07,500,77.309,10.8132,49.1235,6.03977
189,CAR-189,2012-03-16,200,318.421,17.8688,196.795,2.2583
189,CAR-189,2012-03-16,500,249.381,19.5674,101.946,67.7491
190,CAR-190,2012-04-10,500,279.839,29.3839,190.96,7.91998
190,CAR-190,2012-04-10,200,1869.12,33.4458,1186.24,3.51999
193,CAR-193,2012-07-26,200,659.055,6.44045,574.406,3.62783
193,CAR-193,2012-07-26,500,104.242,4.50886,67.8352,12.1357
194,CAR-194,2012-08-14,200,558.551,8.03149,367.959,3.88963
194,CAR-194,2012-08-14,500,77.4019,4.20931,60.3518,8.11908
196,CAR-196,2012-10-10,200,866.938,9.28094,497.97,4.5106
196,CAR-196,2012-10-10,500,93.7287,4.62876,52.2718,5.40743
197,CAR-197,2012-11-08,500,68.9545,4.04491,35.9399,4.59697
197,CAR-197,2012-11-08,200,913.855,7.29998,597.52,5.40743
198,CAR-198,2012-12-04,200,462.204,9.55348,295.042,5.01487
198,CAR-198,2012-12-04,500,82.3914,3.45539,46.8006,5.60486
199,CAR-199,2013-03-05,500,144.207,13.1387,108.853,14.4207
199,CAR-199,2013-03-05,200,659.505,NA,495.096,0.934143
200,CAR-200,2013-04-09,500,107.958,10.0606,76.6467,7.50159
200,CAR-200,2013-04-09,200,826.479,17.8453,594.517,8.21913
201,CAR-201,2013-05-09,500,113.882,11.5927,82.7634,13.2421
201,CAR-201,2013-05-09,200,827.193,18.0719,564.998,16.7734
202,CAR-202,2013-06-11,200,1474.62,16.9265,1359.49,5.52639
202,CAR-202,2013-06-11,500,187.371,5.83297,128.949,22.3687
203,CAR-203,2013-07-11,200,1251.37,NA,948.902,8.05
203,CAR-203,2013-07-11,500,67.6464,NA,47.6569,2.78
204,CAR-204,2013-08-13,200,272.567,7.25959,146.693,14.04
204,CAR-204,2013-08-13,500,188.57,4.39957,97.795,7.75
205,CAR-205,2013-09-11,500,126.48,6.57934,58.3,21.16
205,CAR-205,2013-09-11,200,448.543,9.59854,325.828,1.94
206,CAR-206,2013-10-08,200,67.5133,4.96539,51.7229,0
206,CAR-206,2013-10-08,500,31.45,2.16092,19.89,0.37
207,CAR-207,2013-11-13,500,189.84,4.42204,164.11,5.83
207,CAR-207,2013-11-13,200,405.932,9.80581,299.913,0.899738
208,CAR-208,2013-12-04,200,264.894,4.383,180.64,0.110281
208,CAR-208,2013-12-04,500,27.6889,2.31523,24.4823,0.229045
209,CAR-209,2014-01-14,500,268.132,4.60962,232.927,2.25149
209,CAR-209,2014-01-14,200,326.671,15.6501,240.705,8.90363
210,CAR-210,2014-02-04,200,729.6,4.95634,644.529,2.9223
210,CAR-210,2014-02-04,500,185.07,2.61748,159.915,9.33
211,CAR-211,2014-04-01,500,66.73,7.46291,53.5789,2.2719
211,CAR-211,2014-04-01,200,322.5,9.39105,141.585,1.52242
212,CAR-212,2014-05-06,500,246.408,7.57935,215.442,9.88267
212,CAR-212,2014-05-06,200,625.463,13.814,419.025,4.97794
213,CAR-213,2014-06-13,500,135.81,20.4162,117.619,4.44607
213,CAR-213,2014-06-13,200,609.096,27.4901,493.272,14.5508
214,CAR-214,2014-09-03,200,824.651,16.7423,745.135,15.572
214,CAR-214,2014-09-03,500,214.989,20.8366,173.39,18.7747
215,CAR-215,2014-10-07,500,21.9416,3.43736,11.5736,0.723349
215,CAR-215,2014-10-07,200,188.842,7.24603,149.299,0.771573
216,CAR-216,2014-11-12,500,212.61,2.99493,132.176,5.8854
216,CAR-216,2014-11-12,200,169.205,5.0585,131.686,1.83919
217,CAR-217,2014-12-04,500,67.0469,4.49081,50.0086,3.98298
217,CAR-217,2014-12-04,200,511.371,11.6572,233.447,13.2766
219,CAR-219,2015-03-10,200,633.506,16.4303,337.814,2.08527
219,CAR-219,2015-03-10,500,33.8663,8.19616,30.4055,0.741598
220,CAR-220,2015-04-24,500,72.6081,6.69779,55.4595,1.09459
220,CAR-220,2015-04-24,200,58.7954,6.08326,45.0347,0.625483
221,CAR-221,2015-07-29,500,195.067,8.11083,159.393,30.3606
221,CAR-221,2015-07-29,200,486.782,9.81122,391.652,33.3967
222,CAR-222,2015-08-18,500,250.981,12.71,170.823,28.8208
222,CAR-222,2015-08-18,200,713.048,16.3108,518.774,22.4162
223,CAR-223,2015-09-10,500,168.84,6.46545,119.965,13.3294
223,CAR-223,2015-09-10,200,779.032,12.0631,643.072,28.4362
224,CAR-224,2015-11-16,500,98.7249,4.62132,84.6607,4.96382
224,CAR-224,2015-11-16,200,1559.74,6.36858,1058.95,88.2457
225,CAR-225,2015-12-09,500,115.672,3.18838,94.9278,5.31064
225,CAR-225,2015-12-09,200,263.319,5.72852,193.838,5.31064
226,CAR-226,2016-01-12,500,119.603,3.85871,74.903,24.6455
226,CAR-226,2016-01-12,200,479.87,7.17667,289.395,53.0189
227,CAR-227,2016-02-04,200,373.072,13.6176,185.843,11.0951
227,CAR-227,2016-02-04,500,88.7606,5.16294,42.9934,11.0951
228,CAR-228,2016-05-11,500,115.133,3.74631,88.9351,6.20478
228,CAR-228,2016-05-11,200,304.724,4.73493,228.887,2.75768
229,CAR-229,2016-06-07,500,40.6461,1.03985,30.8984,0.367838
229,CAR-229,2016-06-07,200,425.404,3.00928,336.02,13.2422
230,CAR-230,2016-09-20,500,132.165,7.91148,120.583,4.76883
230,CAR-230,2016-09-20,200,412.39,9.22972,314.288,14.5336
231,CAR-231,2016-12-21,500,25.89,1.26594,22.2142,0
231,CAR-231,2016-12-21,200,215.96,4.07,38.8319,0
232,CAR-232,2017-01-12,200,759.27,3.1074,268.6,10.5748
232,CAR-232,2017-01-12,500,131.656,0.966536,99.9318,1.58622
